,tags,channelId,channelTitle,categoryId,title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
27,"['The Late Show', 'Late Show', 'Stephen Colbert', 'Steven Colbert', 'Colbert', 'celebrity', 'celeb', 'celebrities', 'late night', 'talk show', 'comedian', 'comedy', 'CBS', 'joke', 'jokes', 'funny', 'funny video', 'funny videos', 'humor', 'hollywood', 'famous']",UCMtFAi84ehTSYSE9XoHefig,The Late Show with Stephen Colbert,24,President Trump Contradicts His Own Experts On Coronavirus Response,7zjLor4QAcY,1965162,27624,1081,3757,0
28,"['video', 'live streaming', 'live video', 'cbsn', 'public facilities', 'action', 'limit', 'spread', 'coronavirus']",UC8p1vwvWtl6T73JiExfWs1g,CBS News,25,Public facilities take action to limit coronavirus spread,i4m5BuBQD_w,29759,223,21,137,0
29,"['plm', 'ellen', 'ellen degeneres', 'the ellen degeneres show', 'ellentube', 'season 17', 'episode 96', 'coronavirus', 'ellen monologue', 'monologue', 'ellen coronavirus', 'elizabeth warren coronavirus', 'ellen washing hands', 'washing hands ellen', 'ellen sexy washing hands', 'coronavirus monologue']",UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,24,Ellen Wants to Help Protect You from Getting Coronavirus,8WpFva5PYnU,197508,4571,261,444,0
30,"['Coronavirus in Deutschland - Pure Hysterie oder ernstzunehmende Gefahr?', 'corona', 'corona deutschland', 'coronavirus deutschland', 'corona deutsch', 'coronavirus deutsch neu', 'corona news deutschland', 'coronavirus wuhan', 'corona entwicklung', 'galileo corona', 'galileo virus', 'galileo krankheit', 'galileo', 'corona nrw', 'corona berlin', 'corona transport deutschland', 'Galileo 2020', 'TV', 'TV Sendung', 'Sendung', 'Television Program (Media Genre)']",UC1XrG1M_hw8103zO2x-oivg,Galileo,24,Coronavirus in Deutschland - Pure Hysterie oder ernstzunehmende Gefahr? | ProSieben Spezial,XD6MO6pgmN8,995608,17907,1582,5132,0
31,"['nih coronavirus', 'cdc coronavirus', 'cdc', 'nih', 'coronavirus vaccine', 'wuhan china', 'coronavirus test', 'coronavirus symptoms', 'what is us doing for coronavirus', 'how the us is preparing for coronavirus', 'preparing for coronavirus', 'coronavirus united states', 'coronavirus u.s.', 'covid-19', 'coronavirus', 'Washington Post Video', 'News', 'WaPo Video', 'Washington Post YouTube', 'The Washington Post', 'a:national/health-science', 't:Original', 's:Health and Science']",UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,25,"Despite reassuring messaging, U.S. not fully prepared for coronavirus outbreak",lKiybYDzCoo,26387,223,94,288,0
32,"['latest News', 'Happening Now', 'CNN', 'nick watt', 'coronavirus']",UCupvZG-5ko_eiXAupbDfxWw,CNN,25,Coronavirus kills 6 in Washington state,CEFo5skGRSI,749722,5689,972,6565,0
33,"['bbc', 'bbc news', 'news', 'Coronavirus']",UC16niRr50-MSBwiO3YDb3RA,BBC News,25,Coronavirus: World in &#39;uncharted territory&#39; - BBC News,fnrpUGOxTaw,799779,7048,575,3664,0
34,[],UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post,25,"LIVE: Coronavirus death toll, infections and recoveries",b0Erf8-3P0I,103369,821,73,126,0
35,"['coronavirus', 'COVID-19', 'Coronavirus in the U.S.', 'coronavirus outbreak', 'COVID-19 outbreak', 'health', 'virus outbreak', 'Washington state', 'Washington state coronavirus', 'Seattle', 'coronavirus deaths', 'Donald Trump', 'Centres for Disease Control', 'CDC']",UChLtXXpo4Ge1ReTEboVvTDg,Global News,25,"Coronavirus outbreak: Death toll rises, infection spreads in the U.S.",6hysMVAKSKE,129007,900,92,614,0
36,"['noticia ultimo momento', 'breaking news', 'TN', 'Todo Noticias Argentina', 'Salud', 'enfermedades', 'epidemias', 'coronavirus', 'Coronavirus en la Argentina']",UCj6PcyLvpnIRT_2W_mwa9Aw,Todo Noticias,25,CORONAVIRUS | Confirman el primer caso en la Argentina: es un hombre que viajó a Italia,uobsDtRLXsc,256562,4233,358,3457,0
